task_type,scheduled_hour,day_of_week,duration,previous_completion_rate,previous_task_status,activity_level,sleep_duration,user_preference,availability,completed,data_source
MEAL,21,1,20,0.77,COMPLETED,SEDENTARY,6.0,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,15,6,20,0.76,COMPLETED,LIGHTLY_ACTIVE,6.9,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,9,5,30,0.66,NONE,LIGHTLY_ACTIVE,7.5,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,20,1,15,0.53,SKIPPED,VERY_ACTIVE,9.9,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,10,3,15,0.83,RESCHEDULED,MODERATELY_ACTIVE,6.4,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,10,6,15,0.87,COMPLETED,MODERATELY_ACTIVE,7.5,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,10,6,15,0.43,MISSED,LIGHTLY_ACTIVE,8.1,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,8,6,30,0.56,NONE,MODERATELY_ACTIVE,5.6,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,19,2,20,0.52,NONE,LIGHTLY_ACTIVE,8.2,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,6,2,15,0.7,NONE,SEDENTARY,5.6,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,17,2,20,0.48,SKIPPED,MODERATELY_ACTIVE,4.8,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,17,1,20,0.95,RESCHEDULED,VERY_ACTIVE,7.6,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,10,4,20,0.79,SKIPPED,LIGHTLY_ACTIVE,8.7,1.0,0,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,13,3,20,0.55,RESCHEDULED,MODERATELY_ACTIVE,6.8,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,13,3,15,0.74,RESCHEDULED,LIGHTLY_ACTIVE,8.2,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,17,5,15,0.34,RESCHEDULED,SEDENTARY,6.4,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,14,4,15,0.46,COMPLETED,MODERATELY_ACTIVE,6.5,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,11,2,30,0.67,RESCHEDULED,SEDENTARY,8.2,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,22,1,20,0.71,SKIPPED,LIGHTLY_ACTIVE,6.4,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,20,4,10,0.4,MISSED,LIGHTLY_ACTIVE,7.7,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,15,0,20,0.61,COMPLETED,VERY_ACTIVE,6.0,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,8,2,20,0.4,NONE,LIGHTLY_ACTIVE,7.6,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,20,3,10,0.8,RESCHEDULED,SEDENTARY,8.1,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,7,3,20,0.55,NONE,MODERATELY_ACTIVE,6.6,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,16,1,10,0.75,COMPLETED,MODERATELY_ACTIVE,6.5,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,12,3,20,0.71,COMPLETED,SEDENTARY,6.7,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,9,3,30,0.77,NONE,VERY_ACTIVE,9.3,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,19,6,30,0.8,SKIPPED,LIGHTLY_ACTIVE,5.9,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,20,4,30,0.39,NONE,SEDENTARY,8.3,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,10,4,10,0.54,COMPLETED,VERY_ACTIVE,6.6,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,9,1,15,0.78,MISSED,SEDENTARY,8.4,0.7,0,1,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,22,0,10,0.73,COMPLETED,SEDENTARY,7.6,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,6,1,45,0.46,NONE,VERY_ACTIVE,8.9,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,20,0,10,0.64,MISSED,SEDENTARY,8.7,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,10,4,10,0.79,COMPLETED,SEDENTARY,7.1,0.7,0,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,13,1,20,0.94,RESCHEDULED,MODERATELY_ACTIVE,7.3,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,16,1,10,0.73,SKIPPED,LIGHTLY_ACTIVE,7.2,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,13,0,60,0.73,MISSED,SEDENTARY,6.2,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,14,0,60,0.61,SKIPPED,LIGHTLY_ACTIVE,6.4,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,21,3,15,0.33,COMPLETED,VERY_ACTIVE,8.3,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,13,2,20,0.55,SKIPPED,LIGHTLY_ACTIVE,7.6,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,22,4,15,0.83,COMPLETED,VERY_ACTIVE,7.0,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,18,5,20,0.85,RESCHEDULED,VERY_ACTIVE,7.4,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,18,1,10,0.75,RESCHEDULED,MODERATELY_ACTIVE,5.6,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,17,4,20,0.79,COMPLETED,VERY_ACTIVE,6.2,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,17,6,45,0.58,SKIPPED,LIGHTLY_ACTIVE,7.5,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,10,2,60,0.36,SKIPPED,LIGHTLY_ACTIVE,7.5,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,7,0,20,0.65,RESCHEDULED,LIGHTLY_ACTIVE,5.5,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,17,0,10,0.79,NONE,SEDENTARY,8.6,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,10,1,20,0.59,RESCHEDULED,LIGHTLY_ACTIVE,8.1,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,10,5,20,0.75,NONE,LIGHTLY_ACTIVE,5.4,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,12,3,20,0.77,NONE,VERY_ACTIVE,8.7,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,7,5,30,0.48,RESCHEDULED,MODERATELY_ACTIVE,6.2,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,11,4,30,0.64,NONE,VERY_ACTIVE,7.2,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,6,1,20,0.34,RESCHEDULED,MODERATELY_ACTIVE,8.1,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,11,3,20,0.42,RESCHEDULED,MODERATELY_ACTIVE,8.3,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,10,0,20,0.94,MISSED,SEDENTARY,8.1,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,18,2,45,0.47,SKIPPED,MODERATELY_ACTIVE,9.2,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,22,4,20,0.61,SKIPPED,VERY_ACTIVE,7.3,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,19,3,10,0.56,RESCHEDULED,VERY_ACTIVE,7.4,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,17,1,15,0.47,MISSED,MODERATELY_ACTIVE,6.9,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,15,0,30,0.34,NONE,VERY_ACTIVE,7.6,1.0,0,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,16,0,15,0.5,MISSED,MODERATELY_ACTIVE,7.0,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,20,6,20,0.84,COMPLETED,SEDENTARY,6.9,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,8,6,15,0.67,MISSED,MODERATELY_ACTIVE,7.3,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,9,6,15,0.85,COMPLETED,SEDENTARY,7.6,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,16,0,30,0.66,SKIPPED,LIGHTLY_ACTIVE,7.9,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,21,0,30,0.6,MISSED,SEDENTARY,6.7,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,20,5,30,0.6,MISSED,MODERATELY_ACTIVE,4.6,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,9,5,30,0.31,NONE,MODERATELY_ACTIVE,7.2,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,14,1,30,0.66,SKIPPED,SEDENTARY,6.9,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,8,5,20,0.59,MISSED,LIGHTLY_ACTIVE,6.4,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,16,3,20,0.49,RESCHEDULED,SEDENTARY,9.4,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,21,5,20,0.4,RESCHEDULED,LIGHTLY_ACTIVE,8.5,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,8,4,45,0.48,COMPLETED,VERY_ACTIVE,6.5,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,16,4,20,0.7,MISSED,VERY_ACTIVE,6.6,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,21,0,20,0.94,NONE,LIGHTLY_ACTIVE,5.9,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,10,0,10,0.32,RESCHEDULED,LIGHTLY_ACTIVE,7.7,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,8,4,15,0.49,SKIPPED,LIGHTLY_ACTIVE,6.0,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,17,0,20,0.62,MISSED,VERY_ACTIVE,8.6,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,6,4,20,0.89,MISSED,MODERATELY_ACTIVE,7.7,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,22,4,30,0.85,MISSED,MODERATELY_ACTIVE,5.7,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,7,1,15,0.3,COMPLETED,VERY_ACTIVE,7.9,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,9,1,20,0.5,NONE,MODERATELY_ACTIVE,6.6,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,19,3,45,0.8,MISSED,VERY_ACTIVE,5.7,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,7,5,20,0.86,MISSED,MODERATELY_ACTIVE,8.2,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,22,0,20,0.32,COMPLETED,MODERATELY_ACTIVE,8.2,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,14,2,20,0.65,MISSED,MODERATELY_ACTIVE,7.8,0.7,0,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,9,0,15,0.31,RESCHEDULED,SEDENTARY,8.1,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,13,1,30,0.69,COMPLETED,VERY_ACTIVE,6.1,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,22,5,20,0.47,SKIPPED,SEDENTARY,6.3,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,6,4,10,0.89,RESCHEDULED,MODERATELY_ACTIVE,7.2,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,6,4,30,0.35,RESCHEDULED,LIGHTLY_ACTIVE,7.8,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,13,4,20,0.68,NONE,MODERATELY_ACTIVE,8.8,0.7,0,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,9,5,30,0.93,RESCHEDULED,LIGHTLY_ACTIVE,7.0,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,11,5,45,0.3,NONE,VERY_ACTIVE,5.1,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,15,0,20,0.61,MISSED,VERY_ACTIVE,4.2,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,11,0,10,0.44,MISSED,VERY_ACTIVE,5.5,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,22,5,20,0.33,COMPLETED,SEDENTARY,6.5,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,12,6,45,0.62,MISSED,LIGHTLY_ACTIVE,8.2,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,19,4,20,0.57,RESCHEDULED,VERY_ACTIVE,7.5,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,18,1,60,0.83,COMPLETED,MODERATELY_ACTIVE,7.8,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,20,6,10,0.87,SKIPPED,LIGHTLY_ACTIVE,8.5,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,20,3,20,0.89,RESCHEDULED,LIGHTLY_ACTIVE,7.9,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,7,6,20,0.72,MISSED,MODERATELY_ACTIVE,7.3,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,12,3,15,0.71,NONE,LIGHTLY_ACTIVE,10.0,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,13,1,10,0.57,MISSED,MODERATELY_ACTIVE,10.0,0.7,0,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,22,6,15,0.77,COMPLETED,LIGHTLY_ACTIVE,6.6,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,9,2,10,0.65,SKIPPED,LIGHTLY_ACTIVE,8.9,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,20,0,20,0.51,SKIPPED,MODERATELY_ACTIVE,6.9,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,6,6,20,0.41,RESCHEDULED,SEDENTARY,6.8,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,8,2,20,0.81,MISSED,SEDENTARY,8.1,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,13,1,30,0.68,COMPLETED,MODERATELY_ACTIVE,6.2,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,8,2,10,0.36,MISSED,VERY_ACTIVE,7.7,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,11,2,10,0.62,SKIPPED,SEDENTARY,6.7,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,11,3,60,0.65,NONE,SEDENTARY,8.5,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,22,4,60,0.8,NONE,SEDENTARY,10.0,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,8,1,30,0.76,SKIPPED,SEDENTARY,5.0,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,17,2,20,0.53,RESCHEDULED,MODERATELY_ACTIVE,7.0,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,22,2,45,0.71,COMPLETED,VERY_ACTIVE,5.9,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,13,3,45,0.76,MISSED,MODERATELY_ACTIVE,7.5,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,16,6,10,0.82,RESCHEDULED,SEDENTARY,9.3,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,22,2,20,0.94,RESCHEDULED,VERY_ACTIVE,7.5,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,6,5,30,0.55,MISSED,VERY_ACTIVE,8.5,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,19,2,20,0.84,RESCHEDULED,MODERATELY_ACTIVE,8.6,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,11,2,20,0.63,NONE,MODERATELY_ACTIVE,7.0,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,16,2,30,0.39,NONE,VERY_ACTIVE,6.6,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,20,2,60,0.74,COMPLETED,VERY_ACTIVE,8.4,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,6,3,30,0.78,NONE,SEDENTARY,8.2,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,9,2,20,0.36,COMPLETED,LIGHTLY_ACTIVE,8.1,1.0,0,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,11,2,15,0.37,RESCHEDULED,SEDENTARY,7.2,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,7,1,15,0.61,SKIPPED,LIGHTLY_ACTIVE,7.9,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,7,6,20,0.49,MISSED,LIGHTLY_ACTIVE,6.9,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,18,4,15,0.57,COMPLETED,LIGHTLY_ACTIVE,4.8,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,15,1,30,0.66,RESCHEDULED,VERY_ACTIVE,4.2,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,20,5,20,0.38,MISSED,MODERATELY_ACTIVE,9.4,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,19,1,10,0.71,MISSED,SEDENTARY,6.2,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,11,0,10,0.85,COMPLETED,LIGHTLY_ACTIVE,8.5,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,16,0,20,0.48,MISSED,LIGHTLY_ACTIVE,8.4,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,22,5,20,0.93,NONE,SEDENTARY,6.4,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,6,3,20,0.76,SKIPPED,MODERATELY_ACTIVE,7.8,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,17,2,60,0.76,COMPLETED,SEDENTARY,6.2,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,10,1,10,0.62,RESCHEDULED,VERY_ACTIVE,5.5,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,17,0,10,0.8,SKIPPED,SEDENTARY,4.4,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,21,0,30,0.61,COMPLETED,VERY_ACTIVE,8.4,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,12,3,30,0.51,RESCHEDULED,VERY_ACTIVE,9.1,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,6,3,10,0.33,NONE,SEDENTARY,7.8,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,15,5,15,0.89,SKIPPED,LIGHTLY_ACTIVE,7.9,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,8,0,30,0.51,RESCHEDULED,LIGHTLY_ACTIVE,8.3,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,11,0,15,0.8,COMPLETED,VERY_ACTIVE,6.1,1.0,0,1,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,15,2,20,0.54,NONE,LIGHTLY_ACTIVE,4.9,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,12,3,20,0.67,MISSED,SEDENTARY,6.3,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,20,2,10,0.88,COMPLETED,MODERATELY_ACTIVE,6.9,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,8,4,15,0.46,RESCHEDULED,SEDENTARY,9.0,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,9,1,60,0.46,RESCHEDULED,LIGHTLY_ACTIVE,8.2,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,17,6,10,0.7,SKIPPED,MODERATELY_ACTIVE,9.6,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,13,3,20,0.74,MISSED,SEDENTARY,8.0,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,20,6,30,0.34,COMPLETED,LIGHTLY_ACTIVE,6.9,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,16,5,20,0.5,SKIPPED,MODERATELY_ACTIVE,7.7,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,19,1,15,0.6,MISSED,LIGHTLY_ACTIVE,7.0,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,18,2,30,0.39,MISSED,SEDENTARY,4.3,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,9,2,20,0.56,MISSED,LIGHTLY_ACTIVE,7.9,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,10,0,45,0.41,SKIPPED,LIGHTLY_ACTIVE,6.2,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,21,1,60,0.56,SKIPPED,VERY_ACTIVE,8.8,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,6,2,30,0.41,SKIPPED,LIGHTLY_ACTIVE,7.6,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,15,6,20,0.44,RESCHEDULED,VERY_ACTIVE,8.5,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,10,2,10,0.61,NONE,SEDENTARY,6.8,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,6,0,30,0.54,RESCHEDULED,VERY_ACTIVE,6.4,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
BREAK,22,6,20,0.53,SKIPPED,SEDENTARY,7.7,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,6,1,45,0.93,SKIPPED,MODERATELY_ACTIVE,5.3,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,6,0,10,0.74,COMPLETED,SEDENTARY,9.2,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,17,1,30,0.39,SKIPPED,VERY_ACTIVE,6.6,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,15,3,20,0.43,NONE,VERY_ACTIVE,6.5,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,9,1,45,0.63,MISSED,MODERATELY_ACTIVE,6.0,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,9,1,30,0.53,RESCHEDULED,MODERATELY_ACTIVE,4.0,0.7,0,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,18,4,20,0.66,COMPLETED,SEDENTARY,8.7,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,11,4,30,0.43,NONE,SEDENTARY,8.4,1.0,0,1,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,17,5,30,0.72,COMPLETED,SEDENTARY,7.0,1.0,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,10,0,15,0.48,COMPLETED,LIGHTLY_ACTIVE,5.5,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,13,0,20,0.57,SKIPPED,LIGHTLY_ACTIVE,6.6,0.7,0,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,14,0,60,0.33,COMPLETED,SEDENTARY,5.3,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,11,0,20,0.63,RESCHEDULED,SEDENTARY,8.2,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,13,6,30,0.6,COMPLETED,MODERATELY_ACTIVE,8.5,0.7,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEDITATION,14,4,10,0.44,RESCHEDULED,VERY_ACTIVE,8.3,1.0,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
EXERCISE,22,3,30,0.58,COMPLETED,SEDENTARY,5.9,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
HYDRATION,22,2,30,0.38,SKIPPED,SEDENTARY,6.7,1.0,1,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,9,2,20,0.76,COMPLETED,SEDENTARY,4.4,0.7,0,1,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,13,4,60,0.76,MISSED,VERY_ACTIVE,8.8,0.7,0,1,SYNTHETIC_DEVELOPMENT_SAMPLE
SLEEP_ROUTINE,9,3,15,0.87,MISSED,SEDENTARY,6.4,0.7,0,0,SYNTHETIC_DEVELOPMENT_SAMPLE
MEAL,21,6,45,0.31,RESCHEDULED,SEDENTARY,8.1,0.7,1,1,SYNTHETIC_DEVELOPMENT_SAMPLE
